x;a;Dx;dx;lx;qx;Lx;Tx;ex
0-4;5;50;202.4;1000;202.4;4494;30839.1;30.8
5-9;5;22;89.1;797.6;111.7;3765.3;26345.1;33
10-14;5;12;48.6;708.5;68.6;3421;22579.8;31.9
15-19;5;8;32.4;659.9;49.1;3218.5;19158.8;29
fa;7;15;60.7;627.5;96.7;4180.1;15940.3;25.4
ma;7;30;121.5;566.8;214.4;3542.4;11760.2;20.7
sa;7;12;48.6;445.3;109.1;2947;8217.8;18.5
fm;7;19;76.9;396.7;193.8;2507.8;5270.8;13.2
mm;7;36;145.7;319.8;455.6;1728.7;2763;8.6
sm;7;28;113.4;174.1;651.3;821.8;1034.3;5.9
s;7;15;60.7;60.7;1000;212.5;212.5;3.5
